time,x,y,z
38.829,-2.35878,-0.016113,-0.251892
38.929,-0.124588,-0.127838,-0.289124
39.029,0.180527,-0.088074,-0.094147
39.126,-3.144745,-2.013855,-1.440292
39.226,-1.252213,-0.151855,-0.384399
39.327,0.628662,-0.109543,-0.322784
39.427,0.085052,0.419312,-2.171005
39.523,-1.744156,-0.636612,-0.68251
39.624,-0.666565,-0.101669,-0.164215
39.724,0.641479,0.211441,0.022018
39.826,-1.764664,-0.109985,-1.995789
39.921,-2.530869,-0.432938,-0.336472
40.021,-0.242966,-0.141098,-0.310974
40.122,0.534393,0.109818,-0.086929
40.223,-3.911667,1.619476,-1.210785
40.318,-1.906647,0.743042,-0.327881
40.419,0.316681,-0.056076,-0.282928
40.519,0.105225,0.018463,0.149109
40.62,-2.118805,-2.492981,-0.717499
40.716,-1.035141,-0.264038,-0.304169
40.817,0.847488,0.055206,-0.253922
40.917,0.10408,0.316849,-1.646988
41.017,-1.477844,-0.833969,-0.746582
41.113,-0.71637,0.198944,-0.186844
41.214,0.846008,-0.027359,-0.007675
41.317,-1.348099,0.508179,-2.293335
41.415,-2.575516,-0.170151,-0.503098
41.511,-0.536163,0.198776,-0.100662
41.612,0.439926,-0.181076,-0.330246
41.719,-2.801514,-0.878418,0.100449
41.813,-2.299057,0.26825,-0.380692
41.909,-0.096695,-0.072754,-0.398575
42.009,0.213333,0.123123,0.081497
42.119,-3.148911,-1.386292,-0.72963
42.21,-1.563675,-0.787003,-0.2276
42.306,0.209473,0.277481,-0.20491
42.407,0.243515,-0.104965,-0.106308
42.507,-1.682587,0.880829,-0.894272
42.608,-1.14679,0.564331,-0.205063
42.704,1.055634,0.247589,-0.115417
42.805,-0.072311,0.149399,-0.483948
42.906,-1.432541,-0.235809,-0.800186
43.006,-0.928009,-0.042938,-0.160461
43.102,0.892944,0.171188,0.079163
43.202,-0.621262,-0.194351,-1.818039
43.303,-2.562866,-0.616165,-0.391815
43.403,-0.573029,-0.05127,-0.126587
43.499,0.542236,0.073654,-0.160767
43.6,-2.850006,1.549805,0.161362
43.7,-2.206177,-0.892197,-0.370667
43.801,-0.180954,0.325836,-0.228424
43.897,0.227875,-0.021011,-0.053223
43.997,-3.960159,2.148804,-1.314194
44.102,-1.859253,0.670792,-0.372467
44.198,0.325897,-0.144089,-0.470245
44.294,0.030334,0.063644,0.066605
44.395,-2.458511,-2.688461,-1.117813
44.495,-1.303528,-0.43483,-0.187027
44.596,0.838135,0.093781,-0.42189
44.692,0.099991,-0.175095,-0.687149
44.792,-1.416824,-0.33139,-1.365906
44.893,-0.974518,0.506134,-0.154526
44.994,1.100525,0.116333,-0.104477
45.089,-0.185562,0.10994,-2.1483
45.19,-1.816666,0.627335,-0.813461
45.29,-0.661057,0.262344,-0.15448
45.391,0.569595,-0.0224,-0.102234
45.487,-1.289795,-1.061844,-0.852417
45.588,-2.597672,0.05574,-0.654129
45.688,-0.622055,-0.337173,-0.181015
45.789,0.545273,-0.139038,-0.011841
45.885,-2.800629,1.450821,0.516174
45.985,-2.140305,-0.728104,-0.282211
46.086,-0.091644,0.121841,-0.228699
46.186,0.199036,0.002426,-0.063904
46.282,-3.643646,3.754456,-1.360672
46.382,-1.71315,1.081131,-0.264771
46.483,0.626465,-0.045975,-0.328918
46.584,0.279663,0.038498,-0.564407
46.679,-1.892288,-0.062088,-0.997208
46.78,-0.811066,-0.278885,-0.268463
46.881,0.754532,0.055374,-0.029892
46.981,-0.25914,-0.014877,-1.98024
47.077,-2.24791,-0.914673,-0.317154
47.178,-0.739304,-0.127426,-0.148209
47.278,0.560547,0.023239,-0.06073
47.379,-2.548004,1.399048,-0.453171
47.475,-2.292267,-0.532593,-0.310349
47.575,-0.291641,0.170959,-0.151413
47.676,0.175125,0.089447,-0.072159
47.777,-3.926636,1.087784,-1.185272
47.872,-1.723526,0.514832,-0.461426
47.973,0.205261,-0.072433,-0.285202
48.074,0.108017,-0.040054,-0.019119
48.174,-1.98732,-2.503448,-0.647949
48.27,-1.036377,-0.548492,-0.245499
48.371,0.985992,0.206879,-0.371124
48.471,0.208176,0.150238,-1.141541
48.572,-1.424133,-0.758041,-1.078995
48.668,-0.819473,0.103882,-0.142502
48.768,0.997269,0.06514,-0.176636
48.868,-0.770981,0.608871,-1.895721
48.969,-1.983963,0.274887,-0.645493
49.065,-0.56517,0.16394,-0.048706
49.166,0.560272,-0.061096,-0.156509
49.266,-1.939377,-1.2155,-0.671814
49.367,-2.620743,-0.136917,-0.411789
49.462,-0.491226,-0.139557,-0.242889
49.563,0.340347,-0.077103,-0.076401
49.664,-2.841766,0.100403,-0.28447
49.765,-2.139145,-0.865967,-0.205322
49.86,-0.034454,0.324692,-0.281174
49.961,0.218918,-0.022598,0.049576
50.061,-3.049347,3.530426,-1.154739
50.162,-1.726913,0.719009,-0.268967
50.258,0.449219,0.152328,-0.31134
50.358,0.166412,-0.163513,-0.400146
50.459,-1.983673,-1.912537,-0.742432
50.559,-1.12529,-0.443878,-0.299866
50.655,0.951904,0.103882,-0.194031
50.756,0.128769,0.345184,-1.67865
50.856,-1.542145,-1.334183,-0.526428
50.957,-0.774277,0.048447,-0.177734
51.052,0.961151,0.010086,-0.151886
51.153,-1.977524,1.029251,-0.272659
51.254,-2.128876,-0.360718,-0.615906
51.354,-0.570969,0.267029,-0.173676
51.45,0.417282,0.055542,-0.091919
51.551,-2.83519,-1.318085,-1.029327
51.652,-2.248886,-0.133926,-0.490005
51.752,-0.320618,-0.201233,-0.436615
51.848,0.317276,0.045258,0.008911
51.948,-2.514786,-1.068665,-0.531418
52.048,-1.756241,-0.834061,-0.213562
52.15,0.024307,0.131668,-0.134918
52.245,0.214401,-0.044678,0.068237
52.346,-2.928757,3.048904,-0.788559
52.446,-1.548798,0.672058,-0.314545
52.547,0.479095,0.206238,-0.241791
52.643,-0.007385,0.027283,-0.145721
52.743,-1.652008,-1.936752,-0.78479
52.844,-1.191284,-0.696686,-0.191315
52.944,0.653305,0.291245,-0.274261
53.04,0.145782,0.081345,-0.47699
53.141,-1.079254,0.04425,-1.47142
53.241,-1.115677,0.54277,-0.193619
53.342,0.826248,0.264404,-0.012985
53.438,0.025055,0.270462,-0.352295
53.538,-1.554443,-0.407242,-1.137192
53.639,-0.947769,-0.294464,-0.203674
53.74,0.836334,-0.031067,-0.089279
53.836,0.136169,0.212982,-0.676926
53.936,-1.205612,-0.600601,-1.20816
54.037,-1.028961,0.299484,-0.243332
54.137,0.736862,0.214935,-0.029022
54.233,-0.050186,0.048874,-1.255341
54.334,-1.668961,0.300781,-1.195938
54.434,-0.799591,-0.219864,-0.208542
54.535,0.707474,0.105042,-0.085007
54.631,0.105301,0.377655,-2.106766
54.731,-1.921921,-0.840942,-0.642471
54.832,-0.77449,-0.018753,-0.125473
54.932,0.880295,0.029953,-0.206421
55.028,-0.68576,0.255981,-2.632935
55.129,-2.480194,-0.131897,-0.46106
55.229,-0.500763,0.04567,-0.178314
55.33,0.259064,0.080658,-0.167847
55.426,-2.163086,-1.518921,-0.494629
55.526,-2.38768,-0.411392,-0.511765
55.627,-0.635025,-0.159821,-0.217575
55.727,0.348495,-0.22139,0.030045
55.824,-2.511032,0.247116,-0.117111
55.924,-1.67543,-0.17041,-0.493134
56.024,0.016113,0.104828,-0.186493
56.125,-0.007339,-0.146332,0.067978
56.221,-3.029037,2.982391,-0.913895
56.321,-1.477081,0.493881,-0.269562
56.422,0.532852,0.043823,-0.301285
56.526,0.089172,0.184204,0.092834
56.618,-1.526672,-1.518097,-0.71524
56.719,-1.05217,-0.169678,-0.188019
56.82,0.843994,0.184052,-0.195023
56.931,0.184143,-0.062286,-0.522781
57.016,-1.235382,-0.37352,-1.072037
57.116,-0.872925,0.34906,-0.186966
57.217,0.937714,0.300537,-0.15564
57.327,-0.148026,0.095917,-0.707382
57.413,-1.915878,-0.031555,-1.007706
57.514,-0.973816,-0.231064,-0.190262
57.615,0.718399,-0.021606,-0.0914
