time,x,y,z
54.764,-0.942108,0.010651,-0.22084
54.864,-0.900116,0.222641,-0.016251
54.96,-1.156097,0.143097,-0.438583
55.061,-1.188263,-0.277359,-0.469177
55.161,-0.860214,-0.041443,-0.315384
55.262,-0.369827,0.020752,-0.148468
55.358,-0.46167,0.067245,-0.237411
55.458,-1.751419,-0.122406,0.094955
55.559,-0.733597,-0.032944,-0.332123
55.66,-1.281021,-0.171265,-0.739273
55.755,-1.458603,-0.090912,-0.401657
55.856,-0.169891,0.105713,-0.122131
55.96,0.20871,-0.054123,0.063431
56.057,-3.11972,1.631561,-0.699387
56.153,-2.387878,0.496277,-0.273315
56.253,-0.403503,-0.153229,-0.206924
56.36,0.194656,-0.044022,0.054153
56.455,-2.27887,-1.279358,-0.645645
56.55,-1.901123,-0.628098,-0.310913
56.651,-0.196991,0.056992,-0.096176
56.752,0.186707,-0.019531,0.015961
56.852,-3.364471,0.435257,-0.590454
56.948,-2.141327,0.402557,-0.208694
57.049,-0.189316,-0.011292,-0.06514
57.149,0.00943,-0.032181,-0.087067
57.25,-2.22113,-2.330429,-0.807968
57.345,-1.869873,-1.247879,0.041321
57.446,-0.220337,0.167053,-0.143555
57.554,0.213928,0.092712,0.013596
57.648,-3.747452,1.168289,-0.430252
57.743,-2.047714,0.643707,-0.033249
57.844,0.058243,-0.153839,-0.15361
57.947,0.101547,-0.075256,0.002808
58.045,-2.000702,-2.825775,-0.770767
58.141,-1.450455,-0.922531,-0.125183
58.241,0.301971,0.043243,-0.147766
58.342,0.062881,0.31427,-0.253082
58.442,-1.905655,0.481995,-0.47438
58.538,-1.056808,0.421478,-0.272079
58.639,0.75531,0.215363,-0.081406
58.746,-0.256683,-0.037827,-1.799103
58.84,-1.753479,0.717804,-1.032898
58.936,-0.7621,-0.132751,-0.208939
59.036,0.754028,0.043777,-0.049866
59.143,-0.076492,0.428452,-1.37915
59.238,-1.29863,-0.820007,-1.312241
59.333,-0.918365,0.344086,-0.183212
59.434,0.645874,0.251236,-0.10144
59.536,-0.22612,-0.202805,-1.103043
59.636,-1.972519,0.011703,-0.680542
59.731,-0.759552,-0.170746,-0.227448
59.831,0.657944,-0.055161,0.022964
59.932,-0.063675,0.487854,-1.881027
60.033,-1.353058,-0.922867,-1.085541
60.129,-0.857925,0.153595,-0.203323
60.229,0.638626,0.217651,-0.089127
60.33,-0.263733,0.17012,-2.047241
60.43,-1.874161,0.680191,-0.838699
60.526,-0.743652,-0.198395,-0.143768
60.627,0.541901,-0.011963,-0.045303
60.727,0.049591,0.02272,-1.640244
60.828,-1.464066,-1.149475,-0.934509
60.924,-0.960861,0.026779,-0.149445
61.024,0.652496,0.395432,0.032684
61.125,-0.107208,-0.393631,-1.453735
61.226,-1.966461,0.187271,-0.779678
61.321,-1.004349,-0.43605,-0.153671
61.422,0.31192,0.071304,-0.102875
61.523,0.133987,0.392807,-0.343521
61.623,-1.25647,0.570419,-1.377747
61.719,-1.579025,0.347076,-0.27594
61.819,-0.435623,-0.200104,-0.109848
61.92,0.359268,-0.312775,-0.136444
62.02,-2.024399,-1.03392,-0.086563
62.116,-1.494308,0.203705,-0.31633
62.217,-0.531891,0.039749,-0.171021
62.318,-0.308304,0.007507,-0.155258
62.418,-1.011047,-0.17775,-0.722687
62.514,-1.40062,-0.750443,-0.463455
62.615,-0.886826,-0.132904,-0.309479
62.715,-0.657043,-0.03772,-0.286377
62.816,-0.790924,-0.21814,-0.313644
62.912,-0.989807,-0.1203,-0.288071
63.012,-0.873825,-0.119003,-0.249466
63.113,-0.986023,0.024734,-0.282822
63.213,-0.897995,-0.02681,-0.224365
63.309,-1.01387,-0.071411,-0.273346
63.41,-0.989182,-0.048386,-0.243149
63.51,-0.964676,-0.061478,-0.247482
63.611,-0.929749,-0.093079,-0.252045
63.707,-0.9543,0.075089,-0.263687
63.807,-0.978516,-0.039093,-0.225571
63.908,-0.98587,0.025848,-0.230927
64.009,-0.989182,-0.049286,-0.217285
64.105,-0.92305,-0.021393,-0.238907
64.205,-0.979309,-0.024429,-0.225067
64.306,-0.957092,-0.050919,-0.235321
64.406,-0.963638,-0.030914,-0.225266
64.502,-0.965759,-0.039093,-0.235489
64.603,-0.972168,-0.041061,-0.236618
64.703,-0.961121,-0.026382,-0.228729
